ID,Nome,Sobrenome,Email,Telefone,Endereço,Cidade,Estado,CEP
1,Guilherme,da Paz,francisco90@bol.com.br,+55 31 4427 8075,"Condomínio de Barros, 50",Nogueira,RO,98303835
2,Marcos Vinicius,Azevedo,arthurcostela@uol.com.br,0300 381 1209,"Rua Oliveira, 624",Mendes das Flores,AP,42022003
3,Samuel,Santos,moreiraalexandre@porto.com,(021) 8216 7339,"Aeroporto Cardoso, 2",da Cunha,MS,04569-209
4,Pedro,Almeida,vitor-hugovieira@ig.com.br,(011) 7055 0788,"Distrito Milena Nascimento, 7",Rodrigues do Galho,AM,43108019
5,Isabel,Vieira,pedro-henriqueda-paz@yahoo.com.br,(051) 6731 0649,"Chácara de Ferreira, 8",Melo,TO,00966-156
6,Ian,Alves,emanuella76@yahoo.com.br,+55 11 7401 4825,"Residencial Farias, 32",da Paz do Galho,GO,39152781
7,João Vitor,Lopes,rvieira@yahoo.com.br,+55 (061) 7173-4540,"Aeroporto Campos, 5",Silveira de Ramos,PA,91026-300
8,Maria Fernanda,Castro,lorenzoda-costa@uol.com.br,0800 076 2584,"Área de Teixeira, 996",Cavalcanti de Teixeira,AL,99891-156
9,Raquel,Carvalho,pedro-miguelpires@da.net,+55 41 3156-1119,"Morro Silva, 93",da Paz,GO,00919-050
10,Sabrina,Costa,pmoraes@aragao.br,81 3506 1681,"Campo de Lopes, 3",Gomes de Nunes,MA,53674042
